         1107221 function calls (1078620 primitive calls) in 47.052 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.004    0.001    0.004    0.001 {method 'flatten' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.10/codecs.py:319(decode)
        1    0.004    0.004    0.004    0.004 {built-in method _codecs.utf_8_decode}
      3/2    0.000    0.000    0.003    0.002 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/util/_decorators.py:323(wrapper)
        4    0.000    0.000    0.003    0.001 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/internals/managers.py:2182(create_block_manager_from_column_arrays)
        1    0.003    0.003    0.003    0.003 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/mesh_features.py:227(<dictcomp>)
        1    0.003    0.003    0.003    0.003 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/mesh2vec_base.py:74(<dictcomp>)
        1    0.003    0.003    0.003    0.003 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/mesh2vec_cae.py:171(<listcomp>)
        2    0.000    0.000    0.002    0.001 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/scipy/sparse/_coo.py:380(tocsr)
        1    0.000    0.000    0.002    0.002 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/mesh_features.py:119(_make_ids_unique)
      201    0.002    0.000    0.002    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.002    0.002 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/ops/common.py:57(new_method)
        1    0.000    0.000    0.002    0.002 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/arraylike.py:40(__eq__)
        1    0.000    0.000    0.002    0.002 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/series.py:6233(_cmp_method)
        2    0.002    0.001    0.002    0.001 {built-in method scipy.sparse._sparsetools.coo_tocsr}
        4    0.000    0.000    0.002    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/internals/managers.py:2253(_form_blocks)
        2    0.000    0.000    0.002    0.001 /usr/lib/python3.10/codeop.py:117(__call__)
        2    0.002    0.001    0.002    0.001 {built-in method builtins.compile}
     12/8    0.000    0.000    0.002    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/indexes/base.py:430(__new__)
        1    0.000    0.000    0.002    0.002 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/ops/array_ops.py:231(comparison_op)
      464    0.002    0.000    0.002    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/numpy/core/getlimits.py:685(__init__)
        1    0.000    0.000    0.002    0.002 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/ops/array_ops.py:60(comp_method_OBJECT_ARRAY)
        1    0.002    0.002    0.002    0.002 {pandas._libs.ops.vec_compare}
        1    0.000    0.000    0.002    0.002 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/frame.py:5251(drop)
        1    0.000    0.000    0.002    0.002 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/generic.py:4475(drop)
        1    0.000    0.000    0.002    0.002 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/generic.py:4512(_drop_axis)
    28029    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/reshape/concat.py:146(concat)
        2    0.000    0.000    0.001    0.001 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/scipy/sparse/_coo.py:132(__init__)
      104    0.001    0.000    0.001    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/scipy/sparse/_sputils.py:294(check_shape)
        1    0.000    0.000    0.001    0.001 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/reshape/concat.py:565(get_result)
       73    0.000    0.000    0.001    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/scipy/sparse/_sputils.py:211(isscalarlike)
        1    0.000    0.000    0.001    0.001 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/internals/concat.py:176(concatenate_managers)
       19    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        2    0.000    0.000    0.001    0.001 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/scipy/sparse/_coo.py:273(_check)
        4    0.000    0.000    0.001    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/internals/managers.py:1864(_consolidate_inplace)
       13    0.000    0.000    0.001    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/construction.py:713(_sanitize_str_dtypes)
        1    0.000    0.000    0.001    0.001 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/internals/managers.py:689(reindex_indexer)
        1    0.000    0.000    0.001    0.001 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/internals/managers.py:2319(_consolidate)
        1    0.000    0.000    0.001    0.001 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/internals/managers.py:774(_slice_take_blocks_ax0)
        2    0.001    0.000    0.001    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/internals/managers.py:2361(_merge_blocks)
        6    0.001    0.000    0.001    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/internals/managers.py:2305(_stack_arrays)
        4    0.000    0.000    0.001    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/internals/blocks.py:861(take_nd)
       73    0.000    0.000    0.001    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/numpy/core/numeric.py:1855(isscalar)
